ds,yhat_prophet,yhat_lstm,yhat_hybrid
2025-01-01,297370.4784816374,285261.0330492551,285866.5053208742
2025-01-02,293827.5686693173,285862.997972771,286261.2265075983
2025-01-03,301409.945176712,286759.9734417111,287492.4720284611
2025-01-04,303613.0615513801,287796.2653389413,288587.1051495633
2025-01-05,303545.684667228,288843.9919178904,289579.07655535726
2025-01-06,308023.40897680825,289841.43984067265,290750.53829747945
2025-01-07,305317.60985745094,290764.4032226104,291492.06355435244
2025-01-08,302179.3062718743,291589.03682761436,292118.55029982736
2025-01-09,298153.5764398554,292300.1297710974,292592.8021045353
2025-01-10,305261.73840220424,292923.0759566171,293540.00907889643
2025-01-11,306940.47284180316,293458.59668135055,294132.69048937317
2025-01-12,306329.6845611229,293923.3454242391,294543.6623810833
2025-01-13,310293.02826639643,294321.69239759096,295120.2591910312
2025-01-14,307065.37617390376,294668.82727137033,295288.654716497
2025-01-15,303444.259801724,294969.3111894912,295393.05862010276
2025-01-16,298987.19516342535,295209.54557870334,295398.4280579394
2025-01-17,305782.6281133175,295418.4671845812,295936.67523101805
2025-01-18,307202.7490594015,295601.16751661006,296181.2465937496
2025-01-19,306409.7559292751,295752.76721153327,296285.61664742033
2025-01-20,310303.66109648696,295882.8764935041,296603.9157236532
2025-01-21,307068.629551818,296002.84518575016,296556.13440405356
2025-01-22,303532.43201622996,296103.954078278,296475.37797517556
2025-01-23,299247.17461892916,296174.04719219153,296327.70356352837
2025-01-24,306349.55174196576,296237.6486315114,296743.2437870341
2025-01-25,308127.926631419,296297.55872645444,296889.07712170266
2025-01-26,307747.58372702094,296351.8681609637,296921.6539392665
2025-01-27,312126.40062859235,296393.7882557256,297180.41887436894
2025-01-28,309380.6190234266,296432.0806499792,297079.5075686516
2025-01-29,306352.83252345346,296459.9778790338,296954.62061125477
2025-01-30,302576.5895311911,296481.2349311346,296786.00266113743
